Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.403E-12,6.9285E-12,-2.2711E-11,0,0,0,6.902,0.044371,-1.0159E-12,4.5302E-07,0.037432,-2.863E-11,0.03702,0,0,0,0,0,0,package://src23/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src23/meshes/base_link.STL,,Base-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RP_Link,0.0030843,8.0795E-08,0.027759,0,0,0,0.032185,8.1509E-06,9.1895E-22,2.5914E-09,6.7466E-06,2.4212E-11,9.2429E-06,0,0,0,0,0,0,package://src23/meshes/RP_Link.STL,1,1,1,1,0,0,0,0,0,0,package://src23/meshes/RP_Link.STL,,RP-1,좌표계2,기준축1,RP,revolute,0.0074551,-0.05,-0.18676,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RPm_Link,-0.020727,2.658E-05,-0.014808,0,0,0,0.18625,7.3206E-05,2.1305E-09,-8.425E-07,6.5856E-05,3.6064E-07,4.4648E-05,0,0,0,0,0,0,package://src23/meshes/RPm_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src23/meshes/RPm_Link.STL,,RPm-1,좌표계2,기준축3,RPm,revolute,0,0,0,0,0,0,RP_Link,1,0,0,0,0,0,0,,,,,,,,
RPd_Link,0.0044288,-3.146E-05,-0.087344,0,0,0,0.15516,8.6755E-05,-2.1454E-09,6.58E-06,7.9237E-05,3.6064E-07,3.7712E-05,0,0,0,0,0,0,package://src23/meshes/RPd_Link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://src23/meshes/RPd_Link.STL,,RPd-1,좌표계2,기준축5,RPd,revolute,0,0,0,0,0,0,RPm_Link,0,1,0,0,0,0,0,,,,,,,,
RK_Link,0.011128,1.9486E-07,-0.046701,0,0,0,0.076683,8.1384E-05,-5.3754E-13,-6.8263E-06,8.6027E-05,-1.5763E-12,1.2623E-05,0,0,0,0,0,0,package://src23/meshes/RK_Link.STL,0.96863,0.96863,0.96863,1,0,0,0,0,0,0,package://src23/meshes/RK_Link.STL,,RK-1,좌표계3,기준축7,RK,revolute,0,0,-0.12,0,0,0,RPd_Link,0,1,0,0,0,0,0,,,,,,,,
RA_Link,-0.020723,-3.4876E-05,0.014808,0,0,0,0.18625,7.3206E-05,-2.1306E-09,8.425E-07,6.5856E-05,3.6064E-07,4.4648E-05,0,0,0,0,0,0,package://src23/meshes/RA_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src23/meshes/RA_Link.STL,,RA-1,좌표계4,기준축9,RA,revolute,0,0,-0.12,0,0,0,RK_Link,0,1,0,0,0,0,0,,,,,,,,
RF_Link,-0.026596,-9.982E-05,-0.019713,0,0,0,0.0084038,2.5925E-06,1.2311E-20,1.7723E-22,1.3986E-06,1.2106E-11,1.2289E-06,0,0,0,0,0,0,package://src23/meshes/RF_Link.STL,0.92549,0.92549,0.92549,1,0,0,0,0,0,0,package://src23/meshes/RF_Link.STL,,ankle-1,좌표계4,기준축11,RF,revolute,0,0,0,0,0,0,RA_Link,1,0,0,0,0,0,0,,,,,,,,
RS_Link,0.0047189,-0.0068892,0.0070711,0,0,0,0.14508,0.00011554,3.6327E-13,-1.4699E-12,0.0002103,-1.3291E-06,0.00031871,0,0,0,0,0,0,package://src23/meshes/RS_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src23/meshes/RS_Link.STL,,RS-1,좌표계5,기준축11,RS,revolute,0,0,-0.05,0,0,0,RF_Link,1,0,0,0,0,0,0,,,,,,,,
LP_Link,0.00308430472578777,8.07946247960434E-08,0.0277589995846447,0,0,0,0.0321846509954708,8.15087378543008E-06,1.67332971101005E-22,2.59135407346256E-09,6.74664620431169E-06,2.4211910106564E-11,9.24290011143753E-06,0,0,0,0,0,0,package://src23/meshes/LP_Link.STL,1,1,1,1,0,0,0,0,0,0,package://src23/meshes/LP_Link.STL,,LP-1,좌표계6,기준축2,LP,revolute,0.0074551,0.05,-0.18676,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LPm_Link,-0.0207274437208562,2.65804858109869E-05,-0.0148075586222277,0,0,0,0.186246782923583,7.32062294794612E-05,2.13048548411338E-09,-8.42502475240238E-07,6.5855652034397E-05,3.60642118996533E-07,4.464753551463E-05,0,0,0,0,0,0,package://src23/meshes/LPm_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src23/meshes/LPm_Link.STL,,LPm-1,좌표계6,기준축4,LPm,revolute,0,0,0,0,0,0,LP_Link,1,0,0,0,0,0,0,,,,,,,,
LPd_Link,0.00442878146276882,-3.14603950928444E-05,-0.0873435911372788,0,0,0,0.155158404166415,8.67547471770681E-05,-2.14540531370657E-09,6.5799896853294E-06,7.92367440815387E-05,3.60637120742756E-07,3.77121677268323E-05,0,0,0,0,0,0,package://src23/meshes/LPd_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://src23/meshes/LPd_Link.STL,,LPd-1,좌표계6,기준축6,LPd,revolute,0,0,0,0,0,0,LPm_Link,0,-1,0,0,0,0,0,,,,,,,,
LK_Link,0.0111276747678031,1.94862065316936E-07,-0.0467011594340604,0,0,0,0.0766833061478168,8.13835258979848E-05,-5.37539403425936E-13,-6.82632129314695E-06,8.60266643258083E-05,-1.57628397961801E-12,1.2622932439864E-05,0,0,0,0,0,0,package://src23/meshes/LK_Link.STL,0.968627450980392,0.968627450980392,0.968627450980392,1,0,0,0,0,0,0,package://src23/meshes/LK_Link.STL,,LK-1,좌표계7,기준축8,LK,revolute,0,0,-0.12,0,0,0,LPd_Link,0,-1,0,0,0,0,0,,,,,,,,
LA_Link,-0.0207230961298701,-3.48759082748132E-05,0.0148075586274024,0,0,0,0.186246783228343,7.32062296398091E-05,-2.13055245061791E-09,8.42502485765733E-07,6.58556520206297E-05,3.60642133292606E-07,4.46475355735441E-05,0,0,0,0,0,0,package://src23/meshes/LA_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src23/meshes/LA_Link.STL,,LA-1,좌표계8,기준축10,LA,revolute,0,0,-0.12,0,0,0,LK_Link,0,1,0,0,0,0,0,,,,,,,,
LF_Link,-0.0265956524327976,-9.97784370968952E-05,-0.0197134610159782,0,0,0,0.00840381240077212,2.59254240262506E-06,4.44678401884135E-21,5.43295559734817E-22,1.3986189914568E-06,-1.21059550543493E-11,1.22893929617148E-06,0,0,0,0,0,0,package://src23/meshes/LF_Link.STL,0.925490196078431,0.925490196078431,0.925490196078431,1,0,0,0,0,0,0,package://src23/meshes/LF_Link.STL,,ankle-2,좌표계8,기준축12,LF,revolute,0,0,0,0,0,0,LA_Link,1,0,0,0,0,0,0,,,,,,,,
LS_Link,0.00471890565254679,0.0066899964680502,0.00707110854070214,0,0,0,0.145082768731353,0.000115541639630402,3.63269554132113E-13,1.4699209637831E-12,0.000210296977122794,1.32915560839557E-06,0.000318707327283813,0,0,0,0,0,0,package://src23/meshes/LS_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src23/meshes/LS_Link.STL,,LS-1,좌표계9,기준축12,LS,revolute,0,0,-0.05,0,0,0,LF_Link,1,0,0,0,0,0,0,,,,,,,,
