Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0016597,-4.3961E-06,-0.0041776,0,0,0,0.75139,0.0010428,-5.7481E-07,1.2257E-05,0.00092792,1.0592E-07,0.0012549,0,0,0,0,0,0,package://src_whole/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src_whole/meshes/base_link.STL,,src_base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RP_link,0.0038843,-1.1976E-07,0.027759,0,0,0,0.032185,8.1509E-06,2.6555E-22,2.5914E-09,6.7466E-06,2.4212E-11,9.2429E-06,0,0,0,0,0,0,package://src_whole/meshes/RP_link.STL,1,1,1,1,0,0,0,0,0,0,package://src_whole/meshes/RP_link.STL,,RP-1,RP,RPY,RP,revolute,-0.0085875,-0.049942,-0.11568,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RPm_Link,-0.019927,2.638E-05,-0.014808,0,0,0,0.18625,7.3206E-05,2.1305E-09,-8.425E-07,6.5856E-05,3.6064E-07,4.4648E-05,0,0,0,0,0,0,package://src_whole/meshes/RPm_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src_whole/meshes/RPm_Link.STL,,RPm-1,RP,RPR,RPm,revolute,0,0,0,0,0,0,RP_link,-1,0,0,0,0,0,0,,,,,,,,
RPd_Link,0.0052288,-3.1661E-05,-0.087344,0,0,0,0.15516,8.6755E-05,-2.1454E-09,6.58E-06,7.9237E-05,3.6064E-07,3.7712E-05,0,0,0,0,0,0,package://src_whole/meshes/RPd_Link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://src_whole/meshes/RPd_Link.STL,,RPd-1,RP,RPP,RPd,revolute,0,0,0,0,0,0,RPm_Link,0,1,0,0,0,0,0,,,,,,,,
RK_Link,0.011128,1.9486E-07,-0.046701,0,0,0,0.076683,8.1384E-05,-5.3754E-13,-6.8263E-06,8.6027E-05,-1.5763E-12,1.2623E-05,0,0,0,0,0,0,package://src_whole/meshes/RK_Link.STL,0.96863,0.96863,0.96863,1,0,0,0,0,0,0,package://src_whole/meshes/RK_Link.STL,,RK-1,RK,RKl,RK,revolute,0.0008,0,-0.12,0,0,0,RPd_Link,0,1,0,0,0,0,0,,,,,,,,
RAP_Link,-0.019927,-3.5076E-05,0.014808,0,0,0,0.18625,7.3206E-05,-2.1306E-09,8.425E-07,6.5856E-05,3.6064E-07,4.4648E-05,0,0,0,0,0,0,package://src_whole/meshes/RAP_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src_whole/meshes/RAP_Link.STL,,RA-1,RA,RAP,RAP,revolute,-0.00079565,0,-0.12,0,0,0,RK_Link,0,1,0,0,0,0,0,,,,,,,,
RAR_Link,-0.0266,-2.1011E-08,-0.019713,0,0,0,0.0084038,2.5925E-06,-1.2568E-22,-1.2942E-22,1.3986E-06,1.2106E-11,1.2289E-06,0,0,0,0,0,0,package://src_whole/meshes/RAR_Link.STL,0.92549,0.92549,0.92549,1,0,0,0,0,0,0,package://src_whole/meshes/RAR_Link.STL,,ankle-1,RA,RAR,RAR,revolute,0,0,0,0,0,0,RAP_Link,-1,0,0,0,0,0,0,,,,,,,,
RS_Link,0.0047189,-0.0068892,0.0070711,0,0,0,0.14508,0.00011554,3.6327E-13,-1.4699E-12,0.0002103,-1.3291E-06,0.00031871,0,0,0,0,0,0,package://src_whole/meshes/RS_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://src_whole/meshes/RS_Link.STL,,RS-1,RS,RPY,RS,revolute,0.00079565,0,-0.05,0,0,0,RAR_Link,0,0,1,0,0,0,0,,,,,,,,
LP_Link,0.0038843,-1.1976E-07,0.027759,0,0,0,0.032185,8.1509E-06,-3.4128E-22,2.5914E-09,6.7466E-06,2.4212E-11,9.2429E-06,0,0,0,0,0,0,package://src_whole/meshes/LP_Link.STL,1,1,1,1,0,0,0,0,0,0,package://src_whole/meshes/LP_Link.STL,,LP-1,LP,LPY,LP,revolute,-0.0085875,0.050058,-0.11568,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LPm_Link,-0.0199274437208582,2.63799340881159E-05,-0.0148075586222277,0,0,0,0.186246782923583,7.32062294794612E-05,2.13048548408462E-09,-8.42502475240223E-07,6.5855652034397E-05,3.6064211899651E-07,4.46475355146299E-05,0,0,0,0,0,0,package://src_whole/meshes/LPm_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://src_whole/meshes/LPm_Link.STL,,LPm-1,LP,LPR,LPm,revolute,0,0,0,0,0,0,LP_Link,-1,0,0,0,0,0,0,,,,,,,,
LPd_Link,0.00522878146276717,-3.16609468157154E-05,-0.0873435911372789,0,0,0,0.155158404166415,8.67547471770679E-05,-2.14540531371321E-09,6.57998968532937E-06,7.92367440815385E-05,3.60637120742753E-07,3.77121677268322E-05,0,0,0,0,0,0,package://src_whole/meshes/LPd_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://src_whole/meshes/LPd_Link.STL,,LPd-1,LP,LPP,LPd,revolute,0,0,0,0,0,0,LPm_Link,0,-1,0,0,0,0,0,,,,,,,,
